Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,1.17,1.23
2,0.04,0.01,0.01,1.25,1.32
3,0.05,0.01,0.01,1.23,1.30
4,0.04,0.01,0.01,1.23,1.29
5,0.05,0.01,0.01,1.18,1.25
6,0.05,0.01,0.01,1.22,1.29
7,0.05,0.01,0.01,1.23,1.30
8,0.05,0.01,0.01,1.19,1.26
9,0.05,0.01,0.01,1.20,1.27
10,0.05,0.01,0.01,1.19,1.26
