Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,2.20,2.26
2,0.04,0.01,0.01,2.20,2.26
3,0.04,0.01,0.01,2.17,2.22
4,0.04,0.01,0.01,2.13,2.19
5,0.04,0.01,0.01,2.13,2.18
6,0.04,0.01,0.01,2.16,2.22
7,0.04,0.01,0.01,2.17,2.23
8,0.04,0.01,0.01,2.19,2.25
9,0.04,0.01,0.01,2.16,2.22
10,0.04,0.01,0.01,2.11,2.17
