Run,Build,Trafo,Gen,Verify,Total
1,0.05,0.01,0.01,1.30,1.37
2,0.05,0.01,0.01,1.23,1.30
3,0.05,0.01,0.01,1.26,1.33
4,0.05,0.01,0.01,1.24,1.31
5,0.05,0.01,0.01,1.30,1.37
6,0.05,0.01,0.01,1.26,1.33
7,0.05,0.01,0.01,1.27,1.34
8,0.05,0.01,0.01,1.22,1.29
9,0.05,0.01,0.01,1.30,1.36
10,0.05,0.01,0.01,1.31,1.38
