Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,1.22,1.27
2,0.04,0.01,0.01,1.13,1.19
3,0.04,0.01,0.01,1.14,1.19
4,0.04,0.01,0.01,1.12,1.18
5,0.04,0.01,0.01,1.23,1.29
6,0.04,0.01,0.01,1.27,1.33
7,0.04,0.01,0.01,1.22,1.28
8,0.04,0.01,0.01,1.13,1.19
9,0.04,0.01,0.01,1.22,1.28
10,0.04,0.01,0.01,1.17,1.24
