Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,4.27,4.34
2,0.04,0.01,0.01,4.30,4.36
3,0.04,0.01,0.01,4.20,4.25
4,0.04,0.01,0.01,4.27,4.33
5,0.04,0.01,0.01,4.27,4.33
6,0.04,0.01,0.01,4.35,4.41
7,0.04,0.01,0.01,4.30,4.36
8,0.04,0.01,0.01,4.22,4.28
9,0.04,0.01,0.01,4.25,4.31
10,0.04,0.01,0.01,4.33,4.38
