Run,Build,Trafo,Gen,Verify,Total
1,0.05,0.01,0.01,1.18,1.24
2,0.04,0.01,0.01,1.12,1.18
3,0.04,0.01,0.01,1.21,1.26
4,0.04,0.01,0.01,1.19,1.25
5,0.04,0.01,0.01,1.19,1.26
6,0.04,0.01,0.01,1.19,1.25
7,0.04,0.01,0.01,1.20,1.26
8,0.04,0.01,0.01,1.17,1.23
9,0.04,0.01,0.01,1.16,1.22
10,0.04,0.01,0.01,1.15,1.21
