Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,4.83,4.89
2,0.05,0.01,0.01,4.77,4.84
3,0.05,0.01,0.01,4.90,4.97
4,0.05,0.01,0.01,4.89,4.96
5,0.05,0.01,0.01,4.96,5.03
6,0.06,0.01,0.01,4.90,4.98
7,0.05,0.01,0.01,4.89,4.97
8,0.05,0.01,0.01,4.92,4.99
9,0.05,0.01,0.01,4.74,4.81
10,0.04,0.01,0.01,4.75,4.81
