Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,2.58,2.64
2,0.05,0.01,0.01,2.63,2.70
3,0.05,0.01,0.01,2.35,2.42
4,0.04,0.01,0.01,2.54,2.60
5,0.04,0.01,0.01,2.33,2.40
6,0.05,0.01,0.01,2.33,2.40
7,0.05,0.01,0.01,2.29,2.36
8,0.04,0.01,0.01,2.33,2.39
9,0.04,0.01,0.01,2.38,2.44
10,0.05,0.01,0.01,2.31,2.39
