Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,1.34,1.40
2,0.05,0.01,0.01,1.44,1.51
3,0.04,0.01,0.01,1.42,1.48
4,0.05,0.01,0.01,1.35,1.42
5,0.05,0.01,0.01,1.41,1.49
6,0.06,0.01,0.01,1.50,1.59
7,0.04,0.01,0.01,1.36,1.43
8,0.04,0.01,0.01,1.37,1.43
9,0.04,0.01,0.01,1.36,1.41
10,0.05,0.01,0.01,1.44,1.51
