Run,Build,Trafo,Gen,Verify,Total
1,0.05,0.01,0.01,11.87,11.94
2,0.05,0.01,0.01,11.40,11.46
3,0.05,0.01,0.01,11.29,11.36
4,0.05,0.01,0.01,11.33,11.40
5,0.05,0.01,0.01,11.27,11.34
6,0.05,0.01,0.01,11.19,11.26
7,0.05,0.01,0.01,13.05,13.13
8,0.05,0.01,0.01,11.90,11.98
9,0.05,0.01,0.01,11.19,11.26
10,0.05,0.01,0.01,11.10,11.17
