Run,Build,Trafo,Gen,Verify,Total
1,0.05,0.01,0.01,21.29,21.36
2,0.05,0.01,0.01,21.16,21.24
3,0.05,0.01,0.01,19.51,19.58
4,0.05,0.01,0.01,19.60,19.67
5,0.05,0.01,0.01,19.15,19.22
6,0.05,0.01,0.01,19.09,19.16
7,0.05,0.01,0.01,20.13,20.21
8,0.05,0.01,0.01,19.50,19.58
9,0.05,0.01,0.01,19.18,19.25
10,0.05,0.01,0.01,19.93,20.00
