Run,Build,Trafo,Gen,Verify,Total
1,0.05,0.01,0.01,41.58,41.65
2,0.05,0.01,0.01,41.48,41.56
3,0.05,0.01,0.01,41.45,41.52
4,0.05,0.01,0.01,41.47,41.54
5,0.05,0.01,0.01,41.48,41.55
6,0.05,0.01,0.01,41.49,41.57
7,0.05,0.01,0.01,41.51,41.59
8,0.05,0.01,0.01,41.47,41.54
9,0.05,0.01,0.01,41.49,41.56
10,0.05,0.01,0.01,41.47,41.54
