Run,Build,Trafo,Gen,Verify,Total
1,0.04,0.01,0.01,0.97,1.03
2,0.03,0.01,0.01,0.97,1.02
3,0.03,0.01,0.01,0.96,1.01
4,0.04,0.01,0.01,0.98,1.04
5,0.03,0.01,0.01,0.93,0.98
6,0.04,0.01,0.01,0.93,0.98
7,0.04,0.01,0.01,0.95,1.01
8,0.04,0.01,0.01,0.97,1.02
9,0.04,0.01,0.01,0.96,1.01
10,0.03,0.01,0.01,0.94,0.98
