Run,Build,Trafo,Gen,Verify,Total
1,0.07,0.01,0.01,7.54,7.63
2,0.04,0.01,0.01,7.56,7.63
3,0.05,0.01,0.01,7.56,7.63
4,0.05,0.01,0.01,7.89,7.95
5,0.05,0.01,0.01,7.72,7.79
6,0.05,0.01,0.01,7.55,7.63
7,0.05,0.01,0.01,7.43,7.50
8,0.05,0.01,0.01,7.65,7.73
9,0.05,0.01,0.01,7.74,7.82
10,0.05,0.01,0.01,7.88,7.94
