run,build_s,trafo_s,gen_s,verify_s,total_s,raw_last_line
1,0.05,0.03,0.01,2.65,2.74,"[INFO] 0.05s build, 0.03s trafo, 0.01s gen, 2.65s verify, total 2.74s"
2,0.06,0.02,0.01,2.66,2.75,"[INFO] 0.06s build, 0.02s trafo, 0.01s gen, 2.66s verify, total 2.75s"
3,0.05,0.03,0.01,2.34,2.44,"[INFO] 0.05s build, 0.03s trafo, 0.01s gen, 2.34s verify, total 2.44s"
4,0.06,0.02,0.01,2.34,2.44,"[INFO] 0.06s build, 0.02s trafo, 0.01s gen, 2.34s verify, total 2.44s"
5,0.06,0.02,0.01,2.35,2.44,"[INFO] 0.06s build, 0.02s trafo, 0.01s gen, 2.35s verify, total 2.44s"
6,0.05,0.03,0.01,2.39,2.48,"[INFO] 0.05s build, 0.03s trafo, 0.01s gen, 2.39s verify, total 2.48s"
7,0.05,0.03,0.01,2.42,2.51,"[INFO] 0.05s build, 0.03s trafo, 0.01s gen, 2.42s verify, total 2.51s"
8,0.05,0.02,0.01,2.42,2.50,"[INFO] 0.05s build, 0.02s trafo, 0.01s gen, 2.42s verify, total 2.50s"
9,0.05,0.02,0.01,2.48,2.57,"[INFO] 0.05s build, 0.02s trafo, 0.01s gen, 2.48s verify, total 2.57s"
10,0.05,0.03,0.01,2.46,2.54,"[INFO] 0.05s build, 0.03s trafo, 0.01s gen, 2.46s verify, total 2.54s"
